,ticker,return_total,winrate,avg_return,trade_total,last_openposition_price
89,5880,-0.046135506625775036,0.5,-0.014754387538944286,5,18.084903717041016
90,4127,0.49567774019770794,0.3333333333333333,0.19869487389397975,3,11.149999618530273
91,2206,0.010983557022545831,0.5,-0.009597321741495718,5,34.0
92,2547,0.006598386373494414,0.75,0.0131550548845,5,11.630805015563965
93,3711,-0.17232014676428375,0.0,-0.0987821514706303,3,77.19999694824219
94,5508,0.02148911460555958,0.6666666666666666,0.01153152246887105,3,33.400001525878906
95,9904,-0.17251059036401561,0.3333333333333333,-0.05397628591128578,3,27.299999237060547
96,2324,-0.022680371998290316,0.5,-0.004955905044017328,4,18.649999618530273
97,5521,0.039846016484183844,0.5,0.013660185546613551,4,11.0
98,3483,1.1330075026593343,0.8,0.21233414757307073,5,65.86078643798828
99,1618,0.43812832224517617,0.75,0.10360552619949243,4,13.8125
100,1304,0.02008447376476319,0.75,0.011321710414761904,4,16.25
101,6552,-0.2966217642584189,0.4,-0.0634664610636202,6,52.0
102,1815,-0.3363066476918811,0.0,-0.07323969804061428,5,9.708769798278809
103,2542,-0.08534840761244489,0.25,-0.019686970350203614,4,35.24272155761719
104,6451,-0.06072984277450033,0.4,-0.013474137413911768,5,120.5
105,4303,-0.058878919449697475,0.4,-0.011774008946298698,5,23.299999237060547
106,2313,0.25218905143253223,0.75,0.06287115906677454,5,44.150001525878906
107,5608,-0.23709692706274554,0.5,-0.05855482294073919,4,6.256744861602783
108,2634,-0.07882360407041322,0.4,-0.01586075120586783,5,28.25
109,1532,-0.11294393008614245,0.25,-0.02190129276725372,5,31.75
110,2457,0.389869612914058,0.75,0.09558774983841464,4,8.786080360412598
111,2354,-0.17795714809850283,0.4,-0.03548192230361506,5,51.400001525878906
112,3234,-0.08201774249727223,0.25,-0.025329714202560055,4,40.38172149658203
113,8069,0.1354436678734814,1.0,0.14058353129453116,1,37.70000076293945
114,8112,-0.008154116921269994,0.3333333333333333,-0.003538032241611163,3,28.028852462768555
115,3703,0.15478953875764567,0.6666666666666666,0.05649155320147736,4,20.75
116,1608,-0.1213473583938075,0.75,-0.019582181889307493,4,10.050000190734863
117,5230,0.051703673197940114,0.6,0.010072033037361528,5,26.350000381469727
118,2408,0.1013767442493454,0.6666666666666666,0.02772451704001107,4,84.0
119,3036,0.010232832065333541,0.3333333333333333,0.0029000178134459542,3,37.17161178588867
120,1519,0.05058226331326687,0.75,0.037018341755947204,5,50.5
121,2308,-0.08545073278494675,0.3333333333333333,-0.018842163450141853,3,197.0
