Ticker,Return-to-date,Date
6912.TWO,-0.0,2024-06-05
2365.TW,-0.08,2024-06-05
8374.TW,0.31,2024-06-05
8291.TWO,0.39,2024-06-05
4562.TW,0.13,2024-06-05
2613.TW,0.08,2024-06-05
4549.TWO,0.21,2024-06-05
6160.TWO,0.01,2024-06-05
6117.TW,0.15,2024-06-05
3564.TWO,0.19,2024-06-05
