,ticker,return_total,winrate,avg_return,trade_total,last_openposition_price
0,6415,-0.2681376700581741,0.2857142857142857,-0.033144943259118397,7,400.0
1,8422,-0.015460082467897651,0.25,-0.0040090572904901145,4,179.5
2,6414,0.06631444611198978,0.3333333333333333,0.030521503953905366,4,272.0
3,6409,0.007903063001269084,0.5,0.002697831824295144,4,1565.0
4,6491,-0.058555820277702564,0.3333333333333333,-0.00901426647863518,7,397.5
5,6533,-0.048000412835976336,0.3333333333333333,-0.02496538624051185,4,463.0
6,6605,0.2128172573001781,0.6666666666666666,0.07287965757933627,3,132.5
7,5288,-0.02458104645578718,0.25,-0.006324307777611421,4,176.5
8,8454,0.0858905862539523,0.3333333333333333,0.01788256642991663,6,508.0
9,3406,-0.008491492903061615,0.5,-0.003191504220964314,4,379.5
10,3665,-0.072577354282367,0.5,-0.035132852918236535,3,266.5
11,1519,0.004724209342714003,0.5,0.005161852845063819,2,264.5
12,1560,0.3052485334210564,0.6,0.060042180471537046,5,180.5
13,1590,-0.009744948186638847,0.4,-0.0010431563678649836,5,873.0
14,2049,-0.08204518729358112,0.0,-0.029031226725952524,3,204.5
15,2059,0.26902686448628454,0.6,0.04995100489876343,5,857.0
16,2207,-0.06853230431705948,0.0,-0.026986503441805004,5,685.0
17,2327,0.20083990616641345,0.8,0.03669136633290391,6,596.0
18,2404,0.21764305230071468,0.75,0.0509223662014284,4,226.0
19,2474,0.1297096497615864,1.0,0.033122107653059896,4,189.0
20,2603,0.1590096637037155,1.0,0.05068657318220512,3,104.0
21,2727,0.1331033511838109,0.75,0.03637254125008843,4,237.0
22,2912,0.0029733035710626243,0.3333333333333333,0.0009954610584896884,3,270.5
23,3008,-0.051485190232803846,0.25,-0.008754081388866741,4,2175.0
24,3017,0.04851845973002167,0.75,0.024842483712274238,4,296.5
25,3035,0.2070205791201114,0.75,0.04432716960853028,5,350.5
26,3130,0.0051587699409270105,0.5,0.0025327435163500223,2,213.5
27,3413,0.0901288360644914,0.5,0.022406165756549357,4,185.0
28,3443,0.14360843074847818,0.5,0.07236842105263153,2,1520.0
29,3515,0.060933502617527946,0.5,0.011813093221749088,4,185.0
30,3563,0.052251122874244826,0.6666666666666666,0.017543723396717947,3,185.0
31,3617,0.6906582737521905,0.8,0.1279983356879079,5,212.5
32,4961,0.2806878134453028,1.0,0.09537008897412802,4,260.5
33,9958,-0.27047598583515964,0.0,-0.1388745201858843,2,175.5
