,Alpha_2018_2022
ENPH,0.0979
AXON,0.0387
DXCM,0.038
ETSY,0.0365
TSLA,0.0334
AMD,0.0276
LLY,0.0271
FTNT,0.0271
DECK,0.0255
APA,0.0252
PODD,0.0239
MOH,0.0234
SMCI,0.0228
CMG,0.0217
PAYC,0.0217
HES,0.0213
TRGP,0.0213
KEYS,0.0207
PWR,0.0194
LULU,0.0193
KLAC,0.0184
FICO,0.0182
CDNS,0.0178
EPAM,0.0176
AZO,0.0174
DVN,0.0172
MPWR,0.0171
MSCI,0.0171
MRO,0.0167
AES,0.0164
COP,0.0163
AJG,0.0162
ON,0.0162
SNPS,0.0162
ORLY,0.0161
TSCO,0.016
BLDR,0.0159
ODFL,0.0159
PANW,0.0156
RMD,0.0153
PGR,0.015
DG,0.0149
MSI,0.0147
DE,0.0144
CZR,0.0142
NVDA,0.0141
AAPL,0.014
NOW,0.014
MPC,0.0138
GNRC,0.0137
DHR,0.0136
REGN,0.0135
FSLR,0.0134
CF,0.0133
EQT,0.0132
TMO,0.0132
MCK,0.0131
WRB,0.0131
ADM,0.0128
CTAS,0.0128
MRK,0.0128
STLD,0.0128
JBL,0.0127
KDP,0.0126
CSGP,0.0125
NEE,0.0125
MSFT,0.0124
TDG,0.0124
UNH,0.0124
CPRT,0.0122
TECH,0.012
LRCX,0.012
TGT,0.012
IT,0.0119
CDW,0.0118
HSY,0.0118
OKE,0.0117
AVGO,0.0116
OXY,0.0116
ELV,0.0115
TMUS,0.0115
HCA,0.0114
ZBRA,0.0114
COST,0.0113
IDXX,0.0113
TT,0.0113
BX,0.0111
NDAQ,0.011
NUE,0.0108
POOL,0.0108
ACGL,0.0107
LW,0.0106
ABBV,0.0105
GWW,0.0105
ULTA,0.0103
ADP,0.0102
INTU,0.0102
EXR,0.0101
FCX,0.0101
AON,0.0099
BRO,0.0098
TJX,0.0098
HUM,0.0097
LOW,0.0097
WST,0.0096
ANET,0.0095
STE,0.0095
VLO,0.0093
VRTX,0.0093
DPZ,0.009
TER,0.009
MA,0.0089
NOC,0.0088
PTC,0.0088
ALB,0.0087
LIN,0.0087
MOS,0.0087
A,0.0086
URI,0.0086
COR,0.0085
FANG,0.0085
FDS,0.0085
GPC,0.0084
MTD,0.0083
ZTS,0.0083
EL,0.0082
