,Alpha_2019_2023
SBUX,-0.0006
WAB,-0.0006
BDX,-0.0007
IVZ,-0.0007
MOS,-0.0007
QRVO,-0.0007
EIX,-0.0008
EMR,-0.0008
MTB,-0.0008
MGM,-0.0008
CMA,-0.0009
AEE,-0.001
ATO,-0.001
OMC,-0.001
CSX,-0.0011
ETR,-0.0011
FDX,-0.0011
RTX,-0.0011
KEY,-0.0012
CPT,-0.0014
EBAY,-0.0014
NI,-0.0015
RL,-0.0015
RCL,-0.0015
KHC,-0.0016
CLX,-0.0017
COO,-0.0018
RVTY,-0.0018
ZBRA,-0.0018
MO,-0.0019
PRU,-0.0019
BBY,-0.002
EW,-0.0021
TAP,-0.0021
CSCO,-0.0022
CPAY,-0.0022
ESS,-0.0024
HPE,-0.0024
NSC,-0.0024
GPN,-0.0025
REG,-0.0026
BALL,-0.0027
CCI,-0.0027
YUM,-0.0027
T,-0.0028
NKE,-0.0028
TRMB,-0.0028
EXPE,-0.0029
HSIC,-0.003
HST,-0.003
BAC,-0.0031
EVRG,-0.0032
SYY,-0.0032
USB,-0.0032
AMCR,-0.0033
PNW,-0.0034
PPG,-0.0034
WFC,-0.0034
CMCSA,-0.0035
HRL,-0.0035
TSN,-0.0035
AVB,-0.0036
ES,-0.0036
UDR,-0.0036
CHTR,-0.0037
ECL,-0.0037
INTC,-0.0037
WRK,-0.0037
INCY,-0.004
VRSN,-0.004
ARE,-0.0042
CHRW,-0.0042
JNPR,-0.0044
BWA,-0.0045
TFC,-0.0045
IP,-0.0046
ZBH,-0.0046
FMC,-0.0047
UHS,-0.0047
PPL,-0.0048
BK,-0.0049
KMX,-0.0049
CTSH,-0.0049
EQR,-0.0049
EL,-0.0049
FTV,-0.0049
SPG,-0.0049
CNP,-0.0051
GM,-0.0051
EMN,-0.0052
FFIV,-0.0052
O,-0.0052
APTV,-0.0053
BEN,-0.0054
MKC,-0.0054
STT,-0.0056
GLW,-0.006
MDT,-0.006
VTR,-0.0061
TROW,-0.0062
NTRS,-0.0067
VZ,-0.0069
LVS,-0.007
MTCH,-0.007
FRT,-0.0074
C,-0.0075
MHK,-0.0075
DD,-0.0076
PFE,-0.0081
DAL,-0.0086
D,-0.0086
HAS,-0.0087
BA,-0.009
TFX,-0.0092
DOC,-0.0095
BXP,-0.0106
WYNN,-0.0108
SWK,-0.0113
BAX,-0.0126
DIS,-0.013
LUV,-0.0136
MMM,-0.0139
WBA,-0.0139
FIS,-0.0145
PYPL,-0.0145
NCLH,-0.015
IFF,-0.0153
UAL,-0.0154
WBD,-0.0164
ILMN,-0.0168
AAL,-0.0189
CCL,-0.0195
VTRS,-0.0201
PARA,-0.0204
