,Alpha_2017_2021
JPM,0.0078
CINF,0.0077
EW,0.0077
HLT,0.0077
NKE,0.0077
PYPL,0.0076
LNT,0.0075
BALL,0.0075
BG,0.0075
CTAS,0.0074
GEN,0.0074
MCHP,0.0074
TDY,0.0074
URI,0.0074
HRL,0.0073
LOW,0.0073
ACN,0.0072
CMS,0.0072
CMA,0.0072
FDS,0.0072
PAYX,0.0072
RSG,0.0072
BR,0.0071
CBOE,0.0071
NXPI,0.0071
LH,0.007
CSX,0.0069
IT,0.0069
WM,0.0069
MCO,0.0068
RJF,0.0067
DUK,0.0066
PFE,0.0066
AMP,0.0065
CE,0.0065
CSCO,0.0065
DLTR,0.0065
ES,0.0065
ADI,0.0064
DLR,0.0064
MMC,0.0064
RF,0.0064
SO,0.0063
EQIX,0.0062
XEL,0.0062
TROW,0.0061
UDR,0.0061
IQV,0.006
QCOM,0.006
VRSN,0.006
AEP,0.0059
ORLY,0.0059
INTC,0.0058
WMT,0.0058
VRSK,0.0057
SBUX,0.0056
FAST,0.0055
HIG,0.0055
MKC,0.0055
ETR,0.0054
AIZ,0.0053
ED,0.0053
TDG,0.0053
WRB,0.0053
ALB,0.0052
ESS,0.0052
ILMN,0.0052
MA,0.0052
PEG,0.0052
CTLT,0.0051
COP,0.0051
FSLR,0.005
FMC,0.005
JCI,0.005
WTW,0.005
DOV,0.0049
NI,0.0049
BAC,0.0048
NDSN,0.0048
ORCL,0.0048
VMC,0.0047
XYL,0.0047
NSC,0.0046
APH,0.0044
EVRG,0.0043
AMZN,0.0042
COR,0.0042
ETN,0.0042
ICE,0.0042
LHX,0.0042
APD,0.004
AXP,0.004
HBAN,0.004
NWSA,0.004
TFC,0.004
GWW,0.004
EQR,0.0039
PNR,0.0039
CRM,0.0039
TMUS,0.0038
AME,0.0037
AFL,0.0036
ARE,0.0036
DTE,0.0036
FICO,0.0036
MS,0.0036
PNC,0.0036
STLD,0.0036
CI,0.0035
CFG,0.0035
EXPE,0.0035
ALLE,0.0034
BLK,0.0034
CB,0.0034
OKE,0.0034
RHI,0.0034
VRTX,0.0034
MET,0.0033
ANSS,0.0032
HWM,0.0032
KEY,0.0032
TSN,0.0032
JBHT,0.0031
REGN,0.0031
ADSK,0.003
BAX,0.003
GPC,0.003
NWS,0.003
YUM,0.003
IEX,0.0029
UNP,0.0029
LEN,0.0028
ADM,0.0027
DRI,0.0027
V,0.0027
COO,0.0026
KR,0.0026
AKAM,0.0024
MOS,0.0024
ROL,0.0024
ALL,0.0023
CLX,0.0023
MCK,0.0023
ATO,0.0022
EG,0.0022
PEP,0.0022
PNW,0.0022
AVB,0.0021
FFIV,0.0021
ITW,0.0021
DGX,0.0021
ROK,0.0021
ACGL,0.002
DOC,0.002
QRVO,0.002
HUM,0.0019
SPG,0.0019
IVZ,0.0018
PPG,0.0018
O,0.0018
COF,0.0017
KO,0.0017
FI,0.0017
SRE,0.0017
TEL,0.0017
TRV,0.0017
CVS,0.0016
SYK,0.0016
BBY,0.0015
MPC,0.0015
META,0.0015
TJX,0.0015
USB,0.0015
WELL,0.0015
CNP,0.0014
BA,0.0013
LKQ,0.0012
MAR,0.0012
PTC,0.0012
MTB,0.0011
DFS,0.0009
EBAY,0.0008
HOLX,0.0007
ROP,0.0006
BSX,0.0005
CMI,0.0005
LDOS,0.0005
SWKS,0.0005
SJM,0.0005
AMGN,0.0003
REG,0.0003
APTV,0.0002
L,0.0002
TRGP,0.0002
ROST,0.0001
PKG,6.158e-05
HON,-2.536e-05
SNA,-6.843e-05
TFX,-8.515e-05
GLW,-0.0002
EMN,-0.0002
MRK,-0.0002
PH,-0.0002
CHRW,-0.0003
HPE,-0.0003
NOC,-0.0003
UPS,-0.0004
GILD,-0.0005
JNJ,-0.0005
OMC,-0.0006
JKHY,-0.0007
NTRS,-0.0007
KIM,-0.0009
D,-0.0011
AOS,-0.0012
CHTR,-0.0012
MDLZ,-0.0012
RL,-0.0012
SWK,-0.0012
BDX,-0.0013
ECL,-0.0013
EIX,-0.0013
HUBB,-0.0014
TRMB,-0.0014
BKNG,-0.0017
IFF,-0.0017
JNPR,-0.0017
LYB,-0.0018
MNST,-0.0018
VZ,-0.0018
FRT,-0.0019
HSIC,-0.0019
KMB,-0.0019
KMX,-0.002
PCAR,-0.002
STZ,-0.0021
EQT,-0.0022
GIS,-0.0022
AIG,-0.0024
BMY,-0.0024
CL,-0.0024
MAS,-0.0025
HES,-0.0026
BK,-0.0027
GS,-0.0028
SYF,-0.0028
GL,-0.0029
MDT,-0.0029
FIS,-0.003
FTV,-0.003
CVX,-0.0031
CMCSA,-0.0031
GPN,-0.0032
SYY,-0.0032
EMR,-0.0033
PM,-0.0033
VLO,-0.0034
BEN,-0.0036
IP,-0.0036
WBA,-0.0036
CTSH,-0.0037
PFG,-0.004
MRO,-0.0041
ULTA,-0.0041
WFC,-0.0041
DAL,-0.0042
HAS,-0.0042
PPL,-0.0042
AMCR,-0.0043
LMT,-0.0044
VST,-0.0044
UHS,-0.0045
VTR,-0.0046
DVA,-0.0047
DIS,-0.0048
PRU,-0.0049
EOG,-0.0051
KMI,-0.0051
LUV,-0.0051
EFX,-0.0053
BXP,-0.0055
TXT,-0.0055
MO,-0.0056
FANG,-0.0056
DVN,-0.0057
EA,-0.0058
HII,-0.0058
MGM,-0.0058
BWA,-0.0059
FDX,-0.0059
RTX,-0.0059
K,-0.006
SMCI,-0.0062
UAL,-0.0064
GD,-0.0065
CAG,-0.0066
WRK,-0.0067
CPB,-0.0068
CPAY,-0.0068
HST,-0.0068
WDC,-0.0068
WY,-0.0068
STT,-0.0069
BIIB,-0.0071
C,-0.0072
MMM,-0.0074
WBD,-0.0075
T,-0.008
PSX,-0.008
WMB,-0.0083
ZBH,-0.0088
XOM,-0.009
OXY,-0.01
MHK,-0.0101
DD,-0.0102
BKR,-0.0103
IBM,-0.0103
WAB,-0.0108
CAH,-0.0115
GE,-0.0121
WYNN,-0.0121
LVS,-0.0131
RCL,-0.0134
TAP,-0.0136
PARA,-0.0154
AAL,-0.0169
CCL,-0.0169
KHC,-0.0171
INCY,-0.0173
APA,-0.0213
NCLH,-0.0216
PCG,-0.0227
SLB,-0.0229
HAL,-0.0239
VTRS,-0.0305
