,Alpha_2017_2021
ENPH,0.1019
ETSY,0.0375
AXON,0.0332
TSLA,0.0328
MTCH,0.0291
LRCX,0.0284
GNRC,0.0265
FTNT,0.026
DXCM,0.0239
DECK,0.0233
PODD,0.023
ON,0.0212
AMAT,0.0205
RMD,0.0205
EPAM,0.0204
TER,0.0203
NVDA,0.0199
ODFL,0.0198
KLAC,0.0197
ALGN,0.0187
EXR,0.0187
MU,0.0187
MOH,0.0185
LLY,0.0184
MPWR,0.0183
CZR,0.0179
NOW,0.0176
ANET,0.0174
KEYS,0.0174
MSCI,0.0172
ZBRA,0.0172
CF,0.0166
PAYC,0.0165
LYV,0.0164
AMD,0.0163
BLDR,0.0162
NEE,0.016
CDNS,0.0159
CPRT,0.0159
POOL,0.0157
ZTS,0.0157
F,0.0153
CDW,0.0151
CNC,0.0151
NRG,0.015
AJG,0.0149
MSFT,0.0148
EL,0.0146
PWR,0.0146
TMO,0.0146
MSI,0.0139
AVGO,0.0138
SBAC,0.0138
IDXX,0.0137
WST,0.0137
DHR,0.0136
PGR,0.0136
DE,0.0135
LULU,0.0135
CBRE,0.0134
NVR,0.0134
DPZ,0.0133
TT,0.0132
AWK,0.0131
INTU,0.0131
STX,0.013
CME,0.0126
BX,0.0125
STE,0.0125
TECH,0.0124
AMT,0.0123
ELV,0.0123
CRL,0.0121
NFLX,0.0118
ABT,0.0117
COST,0.0117
SCHW,0.0116
DG,0.0116
LIN,0.0116
NEM,0.0116
JBL,0.0115
MKTX,0.0115
KDP,0.0114
CSGP,0.0113
MAA,0.0113
PLD,0.0113
AAPL,0.0112
SNPS,0.0112
EXPD,0.0111
NDAQ,0.0109
AVY,0.0108
ABBV,0.0107
AZO,0.0106
BRO,0.0106
TYL,0.0105
UNH,0.0105
SHW,0.0104
GM,0.0103
ADP,0.0101
CAT,0.0101
CPT,0.01
MLM,0.01
TXN,0.01
PANW,0.0099
TSCO,0.0099
J,0.0098
PHM,0.0098
HPQ,0.0096
TGT,0.0096
NTAP,0.0095
GRMN,0.0094
ISRG,0.0094
CTRA,0.0093
ADBE,0.0092
BIO,0.0092
MCD,0.0092
MTD,0.0092
PSA,0.0092
GOOG,0.0091
FCX,0.0091
FITB,0.009
HD,0.009
IPG,0.0089
CCI,0.0088
HCA,0.0088
LW,0.0088
AES,0.0087
GOOGL,0.0087
AEE,0.0087
CHD,0.0087
EXC,0.0087
SPGI,0.0087
DHI,0.0086
RVTY,0.0086
IRM,0.0085
NUE,0.0085
TTWO,0.0085
PG,0.0084
WAT,0.0084
AON,0.0082
BBWI,0.0082
WEC,0.0082
A,0.0081
FE,0.0079
TPR,0.0079
CMG,0.0078
HSY,0.0078
