,ticker,return_total,winrate,avg_return,trade_total,last_openposition_price
0,1314,0.0,0.0,0.0,0,0.0
1,2618,0.0,0.0,0.0,0,0.0
2,2515,0.22608537886868296,1.0,0.23758867310899578,1,14.100000381469727
3,2501,0.161486247162683,1.0,0.16748776619024297,1,20.299999237060547
4,2363,0.18118995601197563,0.5,0.13390246733085476,2,50.599998474121094
5,2891,0.07364255073349057,1.0,0.07947012087916394,2,34.25
6,2609,0.0,0.0,0.0,0,0.0
7,2317,0.3909404537465897,1.0,0.460093896713615,1,106.5
8,3481,0.0,0.0,0.0,0,0.0
9,2888,0.0,0.0,0.0,0,0.0
10,2880,0.036741514531499986,1.0,0.0021930327229091606,2,23.399999618530273
11,2371,0.0187056985857752,1.0,0.013864804618414883,1,57.70000076293945
12,1316,0.33198531483698357,1.0,0.364130483795881,1,18.399999618530273
13,2610,0.0,0.0,0.0,0,0.0
14,2409,-0.08958196113518513,0.0,-0.08730156888006235,1,18.899999618530273
15,2303,-0.01836744140401292,0.0,-0.018867924528301883,1,53.0
16,1609,0.08533390307128386,0.5,0.03981386862146874,2,42.45000076293945
17,8096,-0.15365342111163505,0.0,-0.14767256622158398,1,31.149999618530273
18,2883,0.10543568053238239,1.0,0.10714280848600577,1,12.600000381469727
19,2330,0.0,0.0,0.0,0,0.0
20,6177,0.2575449695069916,1.0,0.286931768613907,1,35.20000076293945
21,2882,0.05884521927393305,1.0,0.07064019463208937,2,50.79999923706055
22,2486,0.3502433332864301,1.0,0.38632166571828064,1,54.099998474121094
23,6125,0.39708143766661763,1.0,0.3821752903030853,2,87.30000305175781
24,3715,0.0,0.0,0.0,0,0.0
25,2611,0.3286844417608654,1.0,0.2506739470149839,2,27.649999618530273
26,2603,0.10480100342923504,1.0,0.10769230769230775,1,162.5
27,2101,0.35007924562876,1.0,0.40166860947967264,1,41.95000076293945
28,3363,0.4627400305815996,1.0,0.5568475145276384,1,77.4000015258789
29,2887,0.017147863201839364,1.0,0.016949108707875915,1,17.700000762939453
30,5009,0.15236178728404326,1.0,0.01138714794509843,2,50.400001525878906
31,4526,-0.025509786857397687,0.0,-0.03373497652720259,1,20.75
32,2537,0.4667475428211554,1.0,0.2658363893308052,2,10.649999618530273
33,2323,0.03564915272455127,1.0,0.052401780913936546,2,13.75
34,9945,0.0,0.0,0.0,0,0.0
35,5531,0.0,0.0,0.0,0,0.0
36,5371,0.3119258851890918,1.0,0.34178902473421147,1,74.9000015258789
37,2009,0.21169215897108784,1.0,0.2176560687365514,1,32.849998474121094
38,2913,0.0,0.0,0.0,0,0.0
39,2884,0.03711724335905098,1.0,0.0376237925916616,1,25.25
40,2520,0.24874527530286938,1.0,0.2711864641607338,1,41.29999923706055
41,2834,0.17472060856751392,1.0,0.16727267178622163,2,16.899999618530273
42,2449,0.0,0.0,0.0,0,0.0
43,2401,0.0,0.0,0.0,0,0.0
44,3013,0.1081966245348367,1.0,0.08262706881657178,1,47.20000076293945
45,2359,0.5955964223177803,1.0,0.7669903326128926,1,41.20000076293945
46,8996,0.07460148654186471,1.0,0.0714285714285714,1,273.0
47,2002,0.00584974409426664,1.0,0.00405681067007202,1,24.649999618530273
48,3231,-0.07988816886468952,0.0,-0.08032128514056225,1,124.5
49,1605,-0.021661650047711145,1.0,0.04588396215779045,2,39.599998474121094
50,4915,0.055027052728105375,1.0,0.0827285460378584,2,97.0
51,2316,0.0,0.0,0.0,0,0.0
52,2615,0.0,0.0,0.0,0,0.0
53,6770,0.0,0.0,0.0,0,0.0
54,2801,0.008776671652944268,1.0,0.00831033419496885,1,18.049999237060547
55,2890,0.02898537925056166,1.0,0.0281030618617919,1,21.350000381469727
56,3017,0.0,0.0,0.0,0,0.0
57,1440,0.0,0.0,0.0,0,0.0
58,1513,0.1503669361773161,0.5,0.10856341516718876,2,212.0
59,1503,0.0,0.0,0.0,0,0.0
60,2353,-0.1318653226196409,0.0,-0.12647060319489123,1,51.0
61,3033,0.0,0.0,0.0,0,0.0
62,5512,0.3560591736086951,1.0,0.02020209804504458,2,10.550000190734863
63,2504,0.1266142481378305,1.0,0.1328125,1,32.0
64,2886,0.016668341767968053,1.0,0.016290668830176713,1,39.900001525878906
65,6235,0.015285605825984261,1.0,0.01333333333333342,1,112.5
66,2367,0.25843849109370165,1.0,0.2694174337032016,1,20.600000381469727
67,2867,0.09382520545097162,1.0,0.08971963133267602,1,5.349999904632568
68,1101,0.0,0.0,0.0,0,0.0
69,3312,0.0,0.0,0.0,0,0.0
70,3163,0.2636318233240733,1.0,0.2750263230185903,1,94.9000015258789
71,6278,0.08857767212106915,1.0,0.06372549019607843,2,119.5
72,5457,0.06540666069914436,1.0,0.08253963409908227,2,62.900001525878906
73,2382,-0.11020213306308924,0.0,-0.10892857142857137,1,280.0
74,6274,0.0,0.0,0.0,0,0.0
75,8936,0.0,0.0,0.0,0,0.0
76,5347,0.04800296562549633,1.0,0.04433505220216083,2,93.9000015258789
77,6190,0.016359124330380892,1.0,0.013062431145823172,2,38.599998474121094
78,3376,0.0,0.0,0.0,0,0.0
79,2881,0.0077986373273593035,1.0,0.007225433844657125,1,69.19999694824219
80,2885,0.07732159855644571,1.0,0.07829177315746905,1,28.100000381469727
81,1504,0.09043812973634147,1.0,0.04333078093456233,2,55.0
82,2511,0.0,0.0,0.0,0,0.0
83,2337,0.0,0.0,0.0,0,0.0
84,2344,0.0,0.0,0.0,0,0.0
85,2374,0.4018272889799208,1.0,0.4513108199527234,1,26.700000762939453
